#Tele  #Face  #Strip  #slope  #offset
8  2  18  0.001431  -0.363926
8  2  19  0.001474  -0.444859
8  2  20  0.001423  -0.573004
8  2  21  0.001475  -0.38545
8  2  22  0.001435  -0.271356
8  2  23  0.001475  -0.313596
8  2  24  0.00144  -0.352208
8  2  25  0.001479  -0.356799
8  2  26  0.001448  -0.588203
8  2  27  0.001476  -0.550195
8  2  28  0.001439  -0.541304
8  2  29  0.001479  -0.385733
8  2  30  0.001432  -0.431151
8  2  31  0.001473  -0.615269
9  0  0  0.000881  -1.36293
9  0  1  0.001013  -1.3961
9  0  2  0.000872  -1.26639
9  0  3  0.000808  -1.08846
9  0  4  0.000842  -1.15056
9  0  5  0.000891  -1.28133
9  0  6  0.000843  -1.27731
9  0  7  0.000813  -1.20507
9  0  8  0.000873  -1.31499
9  0  9  0.000853  -1.23682
9  0  10  0.000882  -1.17202
9  0  11  0.00086  -1.17893
9  0  12  0.000845  -1.25061
9  0  13  0.00071  -1.14636
9  0  14  0.000866  -1.19326
9  0  15  0.000582  -0.903699
9  0  16  0.000854  -1.32623
9  0  17  0.000819  -1.2031
9  0  18  0.000874  -1.33
9  0  19  0.000889  -1.41601
9  0  20  0.000855  -1.31135
9  0  21  0.000846  -1.2382
9  0  22  0.000848  -1.27253
9  0  23  0.000869  -1.36265
9  0  24  0.000898  -1.29906
9  0  25  0.000872  -1.28441
9  0  26  0.000893  -1.34046
9  0  27  0.000881  -1.38058
9  0  28  0.000896  -1.35869
9  0  29  0.000836  -1.27994
9  0  30  0.000855  -1.20923
9  0  31  0.00085  -1.26793
9  1  0  0.003348  -6.09128
9  1  1  0.001524  -0.034618
9  1  2  0.001536  -0.048843
9  1  3  0.00153  -0.030978
9  1  4  0.001535  -0.128213
9  1  5  0.00153  0.146344
9  1  6  0.001551  -0.103317
9  1  7  0.001531  -0.025932
9  1  8  0.001544  -0.137492
9  1  9  0.001529  0.236357
9  1  10  0.001538  0.082319
