#Tele  #Face  #Strip  #slope  #offset
8  1  14  0.001449  -0.054283
8  1  15  0.00145  0.171994
8  1  16  0.001459  -0.126088
8  1  17  0.001448  -0.083421
8  1  18  0.001452  -0.090532
8  1  19  0.001447  -0.024309
8  1  20  0.001452  0.023269
8  1  21  0.001452  0.117591
8  1  22  0.001455  0.008383
8  1  23  0.001446  0.142343
8  1  24  0.001453  -0.056773
8  1  25  0.00145  0.086514
8  1  26  0.001452  -0.053571
8  1  27  0.001449  -0.126018
8  1  28  0.001456  0.046662
8  1  29  0.001455  0.144608
8  1  30  0.001452  0.093037
8  1  31  0.001449  0.092089
8  2  0  0.001436  -0.438493
8  2  1  0.001463  -0.418265
8  2  2  0.001437  -0.520284
8  2  3  0.001467  -0.452191
8  2  4  0.001414  -0.428801
8  2  5  0.001456  -0.493849
8  2  6  0.001425  -0.420122
8  2  7  0.00146  -0.324259
8  2  8  0.001445  -0.40423
8  2  9  0.001461  -0.504157
8  2  10  0.003265  -7.6888
8  2  11  0.001465  -0.419768
8  2  12  0.001428  -0.405596
8  2  13  0.001466  -0.314149
8  2  14  0.001454  -0.542097
8  2  15  0.001466  -0.125635
8  2  16  0.001432  -0.414116
8  2  17  0.001463  -0.17818
8  2  18  0.001431  -0.363926
8  2  19  0.001474  -0.444859
8  2  20  0.001423  -0.573004
8  2  21  0.001475  -0.38545
8  2  22  0.001435  -0.271356
8  2  23  0.001475  -0.313596
8  2  24  0.00144  -0.352208
8  2  25  0.001479  -0.356799
8  2  26  0.001448  -0.588203
8  2  27  0.001476  -0.550195
8  2  28  0.001439  -0.541304
8  2  29  0.001479  -0.385733
8  2  30  0.001432  -0.431151
8  2  31  0.001473  -0.615269
9  0  0  0.000881  -1.35915
9  0  1  0.001012  -1.38761
9  0  2  0.000872  -1.26264
9  0  3  0.000809  -1.09427
9  0  4  0.000844  -1.16192
9  0  5  0.000891  -1.27627
9  0  6  0.000843  -1.2727
9  0  7  0.000811  -1.19238
9  0  8  0.000871  -1.29613
9  0  9  0.000853  -1.23175
9  0  10  0.000885  -1.19725
9  0  11  0.000861  -1.18633
9  0  12  0.000845  -1.24722
9  0  13  0.00071  -1.1451
9  0  14  0.000866  -1.18904
9  0  15  0.000582  -0.895724
9  0  16  0.000852  -1.30553
9  0  17  0.000819  -1.19906
9  0  18  0.000874  -1.33084
9  0  19  0.000888  -1.40751
9  0  20  0.000855  -1.31438
9  0  21  0.000846  -1.23298
9  0  22  0.000849  -1.27348
9  0  23  0.000869  -1.36481
9  0  24  0.000898  -1.30306
9  0  25  0.000872  -1.28051
9  0  26  0.000894  -1.349
9  0  27  0.000883  -1.39148
9  0  28  0.000896  -1.36057
9  0  29  0.000836  -1.28119
9  0  30  0.000857  -1.22562
9  0  31  0.000851  -1.2672
9  1  0  0.003348  -6.09128
9  1  1  0.001524  -0.034618
9  1  2  0.001536  -0.048843
9  1  3  0.00153  -0.030978
9  1  4  0.001535  -0.128213
9  1  5  0.00153  0.146344
9  1  6  0.001551  -0.103317
9  1  7  0.001531  -0.025932
9  1  8  0.001544  -0.137492
9  1  9  0.001529  0.236357
9  1  10  0.001538  0.082319
